AD Gene	AD ORF	AD Source Plate	AD Source Well	DB Gene	DB ORF	DB Source Plate	DB Source Well	Retest Result (Binary)	Retest Result (Detailed)	Experiment Name	Sorterd_Interaction_Pair
LOC_OS08G29650				LOC_OS06G08840				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS06G08840', 'LOC_OS08G29650')
LOC_OS06G09679				LOC_OS06G09679				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS06G09679', 'LOC_OS06G09679')
LOC_OS06G11640	LOC_OS06G11640.1	13.0	B05	LOC_OS09G07510	LOC_OS09G07510.1	17.0	E07	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS06G11640', 'LOC_OS09G07510')
LOC_OS06G14470	LOC_OS06G14470.1	9.0	D05	LOC_OS09G31482	LOC_OS09G31482.1	8.0	B10	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS06G14470', 'LOC_OS09G31482')
LOC_OS06G14470	LOC_OS06G14470.1	9.0	D05	LOC_OS11G38670	LOC_OS11G38670.1	17.0	H05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS06G14470', 'LOC_OS11G38670')
LOC_OS06G36840				LOC_OS06G36840				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS06G36840', 'LOC_OS06G36840')
LOC_OS06G36840				LOC_OS12G37590				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS06G36840', 'LOC_OS12G37590')
LOC_OS11G02760				LOC_OS07G07250				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G07250', 'LOC_OS11G02760')
LOC_OS09G02284				LOC_OS07G07610				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G07610', 'LOC_OS09G02284')
LOC_OS07G30820	LOC_OS07G30820.2	8.0	H09	LOC_OS07G10250	LOC_OS07G10250.1	17.0	H10	True	BLUE	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G10250', 'LOC_OS07G30820')
LOC_OS07G34520	LOC_OS07G34520.1	16.0	C10	LOC_OS07G22950	LOC_OS07G22950.1	4.0	D11	True	RED	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS07G22950', 'LOC_OS07G34520')
LOC_OS07G30820				LOC_OS07G30820				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G30820', 'LOC_OS07G30820')
LOC_OS07G30820				LOC_OS07G34520				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G30820', 'LOC_OS07G34520')
LOC_OS07G30820				LOC_OS11G38670				True	BLACK	IST_Retest_from_Sanger_Vidal_21	('LOC_OS07G30820', 'LOC_OS11G38670')
LOC_OS07G30820				LOC_OS12G18880				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G30820', 'LOC_OS12G18880')
LOC_OS10G41410	LOC_OS10G41410.1	4.0	G08	LOC_OS07G30970	LOC_OS07G30970.1	3.0	F05	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G30970', 'LOC_OS10G41410')
LOC_OS12G06870	LOC_OS12G06870.1	20.0	C02	LOC_OS07G31460	LOC_OS07G31460.2	19.0	B02	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS07G31460', 'LOC_OS12G06870')
LOC_OS07G34570				LOC_OS07G34520				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G34520', 'LOC_OS07G34570')
LOC_OS07G34570	LOC_OS07G34570.1	11.0	C02	LOC_OS07G34570	LOC_OS07G34570.1	11.0	C02	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G34570', 'LOC_OS07G34570')
LOC_OS07G34570				LOC_OS07G46160				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G34570', 'LOC_OS07G46160')
LOC_OS07G34570	LOC_OS07G34570.1	11.0	C02	LOC_OS07G48280	LOC_OS07G48280.1	18.0	G04	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G34570', 'LOC_OS07G48280')
LOC_OS07G34570	LOC_OS07G34570.1	11.0	C02	LOC_OS08G06060	LOC_OS08G06060.1	13.0	D06	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G34570', 'LOC_OS08G06060')
LOC_OS07G34570	LOC_OS07G34570.1	11.0	C02	LOC_OS08G37800	LOC_OS08G37800.1	15.0	G10	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP2	('LOC_OS07G34570', 'LOC_OS08G37800')
LOC_OS07G34570				LOC_OS09G32800				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G34570', 'LOC_OS09G32800')
LOC_OS07G34570				LOC_OS10G34520				True	BLACK	IST_Retest_from_Sanger_Vidal_21	('LOC_OS07G34570', 'LOC_OS10G34520')
LOC_OS07G34570	LOC_OS07G34570.1	11.0	C02	LOC_OS12G09089	LOC_OS12G09089.1	10.0	E02	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS07G34570', 'LOC_OS12G09089')
LOC_OS07G39520				LOC_OS07G39520				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS07G39520', 'LOC_OS07G39520')
